isim,irk,ozet,rol,onemli_replik,fiziksel_ozellikler,bolge,yas,silah,iliski
Mumakil,Oliphaunt,"Güneylilerin dev savaş filleri.","Savaş Hayvanı","[Fil sesi]","Dev fil, uzun dişler",Harad,Unknown,"Fildişi, boyut","Haradrim'in savaş hayvanı"
Dragon,Ejderha,"Morgoth'un yaratıkları, ateş ve soğuk ejderhalar.","Yıkıcı","[Ejderha kükreyişi]","Pullu, kanatlı/kanatsız",Kuzey Toprakları,Unknown,"Ateş/Soğuk nefesi","Morgoth'un hizmetkarları"
Huorn,Ağaç,"Yarı uyanık ağaçlar, Entlerin çobanı olduğu yaratıklar.","Koruyucu","[Ağaç hışırtısı]","Yürüyen ağaçlar",Fangorn Ormanı,Unknown,"Dallar ve kökler","Entlerin sürüsü"
Mearas,At,"Rohan'ın soylu atları, Shadowfax'ın soyu.","Soylu At","[At kişnemesi]","Gümüş beyaz, çok hızlı",Rohan,Unknown,"Güç ve hız","Rohirrim'in dostları"
Durin III,Cüce,"Khazad-dûm'un kralı, Celebrimbor'un dostu.","Cüce Kralı","Kapılar her dosta açık olsun.","Uzun sakal, asil duruş",Khazad-dûm,Unknown,"Cüce baltası","Celebrimbor'un müttefiki"
Celebrían,Elf,"Galadriel'in kızı, Elrond'un eşi.","Rivendell Leydisi","Batı'ya gitmem gerek.","Gümüş saçlı, zarif",Rivendell,Unknown,"Hiçbiri","Elrond'un eşi, Arwen'in annesi"
Orophin,Elf,"Lothlórien'in muhafızı, Haldir'in kardeşi.","Elf Muhafızı","Sınırlarımız güvende tutulmalı.","Sarı saçlı, çevik",Lothlórien,Unknown,"Elf yayı","Haldir'in kardeşi"
Rúmil,Elf,"Lothlórien'in muhafızı, Haldir'in diğer kardeşi.","Elf Muhafızı","Orman bizi korur.","Sarı saçlı, zarif",Lothlórien,Unknown,"Elf yayı","Haldir'in kardeşi"
Glóin,Cüce,"Erebor'un soylu cücesi, Gimli'nin babası.","Cüce Soylusu","Hazinelerimiz geri alınmalı.","Kızıl sakal, güçlü yapı",Erebor,Unknown,"Cüce baltası","Gimli'nin babası, Thorin'in yoldaşı"
Nori,Cüce,"Thorin'in şirketinin üyesi, hırsız yetenekleri olan cüce.","Cüce","Kilidini açamayacağım kapı yoktur.","Örgülü sakal, kurnaz bakışlı",Erebor,Unknown,"Hırsız aletleri","Thorin'in yoldaşı"
Ori,Cüce,"Thorin'in şirketinin en genç üyelerinden, yazıcı.","Cüce Yazıcı","Tarihi kaydetmeliyiz.","Genç görünümlü, kısa sakal",Erebor,Unknown,"Kalem ve kitap","Balin'in Moria'daki yoldaşı"
Óin,Cüce,"Thorin'in şirketinin şifacısı.","Cüce Şifacı","Yaralarınızı iyileştireceğim.","Gri sakal, bilge görünüm",Erebor,Unknown,"Şifa çantası","Glóin'in kardeşi"
Bifur,Cüce,"Kafasında ork baltası olan cüce savaşçı.","Cüce Savaşçı","[Khuzdul dilinde konuşur]","Kafasında balta, karışık sakal",Erebor,Unknown,"Mızrak","Bofur'un kuzeni"
Bofur,Cüce,"Neşeli madenci, Thorin'in şirketinin üyesi.","Cüce Madenci","Her şeye iyi tarafından bakmalı!","Kalpak, bıyıklı",Erebor,Unknown,"Madenci kazması","Bombur'un kardeşi"
